"조사년월","물가지수","총고용자수","저축률","고용률","실업자수"
1980-01-01,1697.3,226451,9.9,153,6683
1980-02-01,1701.4,,10.1,5.8,6702
1980-03-01,1708.2,226849,10.2,6,6729
1980-04-01,1695.2,227061,11.3,5.8,7358
1980-05-01,1700.1,227251,11.4,5.7,7984
1980-06-01,1718.8,227522,11.2,6.4,8098
1980-07-01,1747.1,227726,11.3,7,394839483984394839
1980-08-01,1763.8,,11.3,7.5,8281
1980-09-01,1780.5,228186,11.7,7.7,8021
1980-10-01,1817.1,228417,11.3,7.5,8088
1980-11-01,1826.8,228612,11.6,7.7,8023
1980-12-01,1851.7,228779,11.4,7.5,7718
1981-01-01,1870,228937,10.9,7.4,8071
1981-02-01,1884.2,229071,10.8,7.1,8051
1981-03-01,1902.9,229224,10.8,7.1,7982
1981-04-01,1904.4,229403,10.9,7.4,7869
1981-05-01,1913.8,229575,11,6.9,8174
1981-06-01,1934.5,229761,10.8,6.6,8098
1981-07-01,1942.1,229966,12.3,7.1,7863
1981-08-01,1966.6,230187,12,7.2,8036
1981-09-01,1965.5,230412,12.4,6.8,394839483984394839
1981-10-01,1963.9,,13,6.8,8646
1981-11-01,1970.6,230822,13.2,6.9,9029
1981-12-01,1988.8,230989,12.5,6.9,9267
1982-01-01,1997.1,231157,12.7,7.1,9397
1982-02-01,2021.2,231313,12.1,7.5,9705
1982-03-01,2024.1,231470,12.2,7.7,9895
1982-04-01,2026.3,231645,12.9,8.1,10244
1982-05-01,2044.5,,12.3,8.5,10335
1982-06-01,2048.1,231992,12.3,9.5,10538
1982-07-01,2072.2,232188,12.5,8.5,10849
1982-08-01,2080.1,232392,12.6,8.7,10881
1982-09-01,2104.6,232599,11.8,9.5,394839483984394839
1982-10-01,2125.8,232816,11.3,9.7,11529
1982-11-01,2149.3,,10.9,10,11938
1982-12-01,2161.6,233160,10.9,10.2,12051
1983-01-01,2174,233322,11.1,11.1,11534
1983-02-01,2177,233473,11.1,9.8,11545
1983-03-01,2202.8,233613,10.6,10.4,394839483984394839
1983-04-01,2226.4,233781,10.3,10.9,11268
1983-05-01,2245.9,233922,9.9,12.3,11154
1983-06-01,2276,234118,9.1,11.3,11246
1983-07-01,2304.4,234307,9.6,10.1,10548
1983-08-01,2320.4,234501,9.2,9.3,10623
1983-09-01,2334.9,234701,9.6,9.3,10282
1983-10-01,2357.6,234907,9.7,9.4,9887
1983-11-01,2366.3,235078,10.3,9.3,9499
1983-12-01,2393.6,235235,10.1,8.7,9331
1984-01-01,2419.4,235385,10,9.1,394839483984394839
1984-02-01,2403.5,235527,11.7,8.3,8791